wavelength_nm,importance_psi,importance_delta,importance_total
440,0.0018781306730310796,0.00029751479012644384,0.0021756454631575235
441,0.005773873605754681,4.0969483537157214e-05,0.005814843089291839
442,0.0010098142672436013,0.00013473940926864828,0.0011445536765122496
443,0.0014431700419470545,0.00013582382628690313,0.0015789938682339577
444,0.0005225619779952117,8.108885360191765e-05,0.0006036508315971293
445,0.006658763782144353,0.000271492054105044,0.006930255836249397
446,0.0008916982941348909,0.0001814167144064521,0.0010731150085413431
447,0.0018508570142383898,0.00013812463899177512,0.0019889816532301647
448,0.0010136361805104998,7.866396823626885e-05,0.0010923001487467686
449,0.002051252390932592,0.00028562903570593547,0.0023368814266385273
450,1.3070872999457059e-05,5.2539119012741685e-05,6.560999201219875e-05
451,0.0001921467768530575,0.00014694787745195444,0.00033909465430501193
452,6.13266671356349e-06,2.338213492363342e-05,2.951480163719691e-05
453,0.0007031408105759431,0.00012309122085420664,0.0008262320314301497
454,0.00022003168435698054,3.4090037435268956e-05,0.0002541217217922495
455,3.0230268381532408e-05,3.623351467243469e-05,6.64637830539671e-05
456,9.567089181298587e-06,0.00023938832804777912,0.0002489554172290777
457,0.00018163768916612956,4.139340145728269e-05,0.00022303109062341226
458,8.133740077944725e-05,0.0002253023459026509,0.00030663974668209814
459,0.0002371186376745359,7.854396075564752e-05,0.0003156625984301834
460,1.0571326817981594e-05,1.9679503802323602e-05,3.0250830620305196e-05
461,0.0001634362234684638,5.67356850997439e-05,0.0002201719085682077
462,2.6837925453067645e-05,1.7576646399335194e-05,4.441457185240284e-05
463,0.00025023474986474794,9.094083373715995e-05,0.0003411755836019079
464,2.200891526648514e-06,2.3781042871170337e-05,2.598193439781885e-05
465,0.002163319281498888,3.812333511905101e-05,0.002201442616617939
466,3.028757390562563e-05,2.4977621282715102e-05,5.526519518834073e-05
467,3.4501540839170987e-06,6.639984882440145e-06,1.0090138966357244e-05
468,3.1114096514359575e-05,2.8471912976438053e-06,3.396128781200338e-05
469,0.00012203621177428032,1.1922357063367637e-06,0.0001232284474806171
470,7.318719555883481e-05,2.2393182457553004e-05,9.558037801638781e-05
471,0.00013164934230754915,1.5329867373947384e-05,0.00014697920968149655
472,3.347708145994654e-06,3.943008317279727e-05,4.2777791318791927e-05
473,9.446325611552628e-05,0.00015436235175207052,0.0002488256078675968
474,2.3313262159434574e-06,5.572225274206748e-06,7.903551490150205e-06
475,3.2602930097548456e-05,4.66211032215771e-05,7.922403331912556e-05
476,4.4128850114959075e-05,0.0003581577046799184,0.00040228655479487743
477,0.0001329002349988019,3.6393718449153294e-05,0.00016929395344795518
478,0.00015452359690229308,0.00010125196097274751,0.0002557755578750406
479,3.930965233989529e-06,0.0004681859333433039,0.00047211689857729343
480,0.00010766289740103192,0.00020402155518375544,0.00031168445258478736
481,9.100002255628517e-05,0.00016303960573428014,0.0002540396282905653
482,6.922718284855084e-06,3.696000171070124e-06,1.0618718455925208e-05
483,3.300115174675022e-06,7.696158754948779e-05,8.026170272416282e-05
484,5.395804576275958e-05,0.0002708976168575041,0.00032485566262026365
485,0.0001334715563134682,0.00020316821394277603,0.0003366397702562442
486,7.999017704243944e-05,1.7104874437232228e-06,8.170066448616266e-05
487,4.331129114930056e-06,0.00046200131335385206,0.0004663324424687821
488,0.0008770325583309321,4.955897446711602e-07,0.0008775281480756032
489,0.00016567301946038824,5.397026243638024e-05,0.00021964328189676849
490,9.197333630173063e-05,0.0001655285597002908,0.0002575018960020214
491,3.550357948225924e-05,4.2206708189360924e-06,3.972425030119533e-05
492,0.0002597396140636647,5.386597879284344e-06,0.00026512621194294905
493,8.741523290978566e-05,1.0047844972438224e-05,9.746307788222389e-05
494,1.993612121155811e-05,0.00017994696179291717,0.0001998830830044753
495,0.00012382035941642746,0.00014382195283974686,0.0002676423122561743
496,4.027465034396808e-05,0.0001909549156400195,0.00023122956598398757
497,1.5739627610442244e-06,9.351668727808113e-06,1.0925631488852337e-05
498,6.315624015396323e-05,6.792407619664513e-05,0.00013108031635060836
499,2.483989702975601e-05,0.00013736733982652616,0.00016220723685628216
500,2.531565988232204e-06,5.2686738284702135e-05,5.521830427293434e-05
501,8.666989232848364e-07,0.00032077968810603525,0.0003216463870293201
502,0.0001729231201951324,0.0006775466721267453,0.0008504697923218778
503,1.0146364300789009e-05,0.00017891125958146217,0.0001890576238822512
504,3.17501024099868e-06,3.3200302526267005e-05,3.637531276726568e-05
505,1.9426098873191464e-05,7.340930171768069e-06,2.6767029044959532e-05
506,6.474342310187462e-05,9.215294445088124e-06,7.395871754696275e-05
507,4.5943492633494406e-05,6.803555784525842e-06,5.2747048418020246e-05
508,2.997829145972947e-05,0.0002557572685974537,0.00028573556005718315
509,0.00025374791032972785,0.00013029496381006272,0.0003840428741397906
510,2.816986750572457e-06,1.7060294878995282e-05,1.987728162956774e-05
511,5.334942380194424e-05,0.00014964549880826266,0.0002029949226102069
512,0.00011698780439588146,8.270119455849618e-06,0.00012525792385173107
513,7.773999402826162e-06,2.435147743904808e-06,1.020914714673097e-05
