wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
320,Random Forest,4.326,1.252,2.0578,0.3026,1.3059,0.1587,0.9847,0.0046
320,MLP,3.541,2.1226,1.7903,0.5794,1.2141,0.417,0.9873,0.0083
315,Linear Regression,1492.8547,614.1984,37.8264,7.8753,22.8737,3.2596,-4.4257,2.578
315,Random Forest,4.5309,1.5572,2.097,0.3651,1.3788,0.1785,0.9839,0.0058
315,MLP,4.3354,1.6136,2.0413,0.4103,1.3984,0.3632,0.9846,0.0063
310,Linear Regression,1302.5621,610.3975,35.3015,7.5077,19.8887,3.5074,-3.7212,2.4991
310,Random Forest,4.0248,1.3585,1.9782,0.3339,1.3041,0.135,0.9856,0.0054
310,MLP,3.9633,2.749,1.8821,0.6487,1.2064,0.3519,0.9865,0.008
305,Linear Regression,1119.8604,718.2672,32.1749,9.1999,17.7535,2.9481,-3.081,2.8698
305,Random Forest,4.1084,1.0412,2.0106,0.2565,1.341,0.1367,0.9854,0.004
305,MLP,4.6587,2.6475,2.0637,0.6323,1.4106,0.5224,0.9834,0.0102
300,Linear Regression,1753.1398,780.6092,40.9503,8.7299,23.7323,3.5166,-5.3563,3.2092
300,Random Forest,3.8585,1.1352,1.9451,0.2738,1.301,0.1277,0.9863,0.0042
300,MLP,3.9148,1.0489,1.9598,0.2719,1.3195,0.1728,0.9862,0.004
295,Linear Regression,1109.6938,407.5533,32.7566,6.0582,19.1458,3.0262,-3.0016,1.6994
295,Random Forest,4.0234,1.2776,1.9789,0.3278,1.307,0.1324,0.9857,0.0048
295,MLP,2.5896,0.9426,1.5812,0.2988,1.0444,0.1327,0.991,0.0029
290,Linear Regression,1423.0141,469.1735,37.2512,5.9468,20.4587,2.3123,-4.1117,1.9577
290,Random Forest,4.1456,1.3298,2.0118,0.3137,1.3249,0.1247,0.9854,0.0047
290,MLP,2.525,0.4001,1.5844,0.121,1.0115,0.0623,0.9911,0.0008
285,Linear Regression,2174.1989,1538.608,44.3954,14.2565,23.9284,5.2089,-6.9764,6.1029
285,Random Forest,4.4795,1.1531,2.1,0.2636,1.3251,0.1339,0.9842,0.004
285,MLP,5.023,3.4285,2.0825,0.8284,1.3937,0.5453,0.9827,0.0114
280,Linear Regression,1454.6663,737.6758,37.0817,8.9227,21.5631,3.5191,-4.3056,3.0038
280,Random Forest,4.8968,1.501,2.1885,0.3278,1.3756,0.1667,0.9827,0.0055
280,MLP,4.1859,2.0101,1.9715,0.5467,1.3649,0.3266,0.9853,0.0072
275,Linear Regression,1652.1102,964.9042,39.265,10.5055,22.768,4.1792,-5.0469,3.8909
275,Random Forest,4.7474,1.9863,2.1332,0.4437,1.3382,0.1531,0.9829,0.0076
275,MLP,4.2446,2.4184,1.9911,0.5294,1.2858,0.3389,0.9855,0.0069
270,Linear Regression,1898.8869,418.5406,43.3147,4.7666,22.867,1.9725,-5.8482,1.9728
270,Random Forest,4.1406,1.0953,2.0186,0.2564,1.3434,0.1259,0.9852,0.0043
270,MLP,3.3683,1.5327,1.788,0.4138,1.2021,0.3125,0.9884,0.0047
265,Linear Regression,2039.5093,551.984,44.7169,6.317,25.8448,1.6752,-6.3393,2.289
265,Random Forest,4.1529,0.9582,2.0243,0.2349,1.3297,0.1094,0.9852,0.0039
265,MLP,4.0391,1.5306,1.9668,0.4133,1.3346,0.2512,0.9858,0.005
260,Linear Regression,2176.6245,811.5622,45.8703,8.517,24.3498,5.148,-6.9284,3.4804
