wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
360,MLP,2.2419,0.8822,1.4565,0.3471,0.9555,0.1937,0.9922,0.003
355,Linear Regression,202939.9504,122301.6817,423.6606,153.1394,217.4663,69.8784,-743.2429,465.8751
355,Random Forest,3.5276,1.0904,1.858,0.2746,1.1568,0.1117,0.9875,0.004
355,MLP,3.5063,2.296,1.7432,0.6838,1.1754,0.4407,0.9877,0.0083
350,Linear Regression,234745.5798,72830.7911,478.0232,78.99,255.7126,57.0385,-847.497,312.7323
350,Random Forest,3.3096,0.8153,1.806,0.2191,1.1525,0.1046,0.9882,0.0033
350,MLP,1.9835,0.8032,1.3754,0.3029,0.8943,0.1633,0.9932,0.0024
345,Linear Regression,232146.566,82033.2217,471.8839,97.3251,256.4983,68.3415,-834.5475,334.2443
345,Random Forest,3.3652,0.7907,1.8222,0.2118,1.1334,0.1005,0.988,0.0032
345,MLP,4.7261,5.7528,1.8754,1.0995,1.2697,0.6715,0.9847,0.0171
340,Linear Regression,254201.6251,89112.2481,494.7175,97.2431,246.4711,69.3753,-910.7619,358.0089
340,Random Forest,3.2561,1.0424,1.783,0.2777,1.1083,0.1066,0.9884,0.0038
340,MLP,2.8733,2.797,1.5424,0.703,0.9617,0.3909,0.9905,0.0082
335,Linear Regression,282729.7604,137524.4358,515.236,131.3836,264.9409,74.7083,-1035.8535,565.3227
335,Random Forest,3.4798,0.9975,1.8471,0.261,1.1316,0.1059,0.9876,0.0039
335,MLP,3.1689,2.0232,1.68,0.5887,1.1594,0.439,0.9892,0.0062
330,Linear Regression,222269.043,69540.3179,464.2415,82.1514,243.7178,49.6092,-804.1685,282.3913
330,Random Forest,3.2206,0.8763,1.7787,0.2384,1.1194,0.0772,0.9885,0.0033
330,MLP,4.3116,2.6273,1.9601,0.6852,1.3372,0.5273,0.9852,0.0084
325,Linear Regression,199469.5104,106986.8625,429.1894,123.5555,219.1067,69.7808,-729.1887,421.8974
325,Random Forest,3.5139,0.894,1.8602,0.2311,1.1555,0.0925,0.9875,0.0034
325,MLP,2.8249,1.4821,1.6306,0.4074,1.0741,0.2116,0.9903,0.0042
320,Linear Regression,316844.0725,39853.2618,561.7112,36.3946,292.6874,20.1567,-1130.3484,195.0047
320,Random Forest,3.4565,0.9698,1.8412,0.2578,1.1533,0.1019,0.9876,0.0039
320,MLP,2.7456,1.3646,1.5973,0.4406,1.0302,0.2373,0.9903,0.0052
315,Linear Regression,260136.7979,63032.4328,506.2606,61.9438,257.2213,30.4741,-937.6938,289.0915
315,Random Forest,3.4684,0.7216,1.8525,0.1914,1.1656,0.0823,0.9876,0.003
315,MLP,3.272,1.8754,1.7332,0.5178,1.126,0.4173,0.9883,0.0073
310,Linear Regression,335999.7917,158856.9181,560.8428,146.4757,279.3544,95.3832,-1220.6794,645.2106
310,Random Forest,3.2977,0.9196,1.8,0.24,1.141,0.0849,0.9882,0.0035
310,MLP,3.2133,2.5975,1.6765,0.6346,1.0681,0.3634,0.9892,0.0076
305,Linear Regression,325445.0716,146712.8913,555.6862,129.0657,297.5224,71.7445,-1190.4248,601.3393
305,Random Forest,3.191,0.9572,1.7686,0.2512,1.1122,0.102,0.9886,0.0036
305,MLP,4.8434,3.1227,2.0642,0.7632,1.3779,0.5815,0.9829,0.0115
300,Linear Regression,363019.6608,181828.3774,584.8129,144.9606,287.2178,88.3671,-1327.6765,746.0169
300,Random Forest,3.3921,0.8147,1.83,0.208,1.1598,0.0975,0.988,0.003
300,MLP,3.9108,1.1883,1.9524,0.3146,1.3094,0.2089,0.9862,0.0045
295,Linear Regression,486897.4086,218436.6588,683.6823,139.5562,334.684,86.0779,-1761.008,899.6145
295,Random Forest,3.2785,1.1682,1.7817,0.3227,1.1264,0.1227,0.9883,0.0044
295,MLP,2.3256,0.4999,1.516,0.1652,1.0315,0.071,0.9919,0.0013
290,Linear Regression,324284.5065,94770.6822,562.5879,88.2008,270.2304,49.7352,-1171.2167,394.1381
290,Random Forest,3.5396,0.9219,1.8664,0.2369,1.1308,0.0979,0.9874,0.0036
290,MLP,2.5368,1.5788,1.5292,0.4453,0.9956,0.2714,0.9914,0.0044
285,Linear Regression,295557.0983,106634.9348,535.0893,96.107,246.5007,53.4861,-1061.1843,423.0617
285,Random Forest,3.6886,0.8673,1.909,0.2108,1.1607,0.0961,0.9869,0.0033
285,MLP,4.6923,3.1508,2.0237,0.7726,1.3377,0.4795,0.9839,0.0102
280,Linear Regression,595520.6649,513372.5254,704.6716,314.5768,319.8019,143.7594,-2196.6614,1996.0839
280,Random Forest,3.7819,0.8535,1.9327,0.216,1.1817,0.089,0.9865,0.0036
280,MLP,2.9538,1.7167,1.6495,0.4825,1.1173,0.2329,0.9899,0.005
275,Linear Regression,352403.5058,100033.0982,588.3093,79.3455,289.9154,51.2673,-1257.1952,414.7949
275,Random Forest,3.8924,1.1275,1.9531,0.2788,1.1611,0.0942,0.986,0.0045
275,MLP,4.0181,2.4782,1.9237,0.5634,1.2501,0.3737,0.9862,0.0072
270,Linear Regression,421265.738,226302.5993,620.6829,189.7854,293.2371,122.5181,-1547.0688,911.2805
270,Random Forest,3.7441,1.0143,1.9188,0.2493,1.1759,0.1028,0.9866,0.004
270,MLP,3.1958,1.2109,1.7546,0.3423,1.1635,0.2428,0.9889,0.0035
265,Linear Regression,417363.0677,281945.6194,603.3045,231.0557,264.299,84.0318,-1522.9178,1034.8421
265,Random Forest,3.89,1.1734,1.9508,0.2908,1.1798,0.0717,0.986,0.0046
265,MLP,3.7087,1.6686,1.8768,0.4318,1.2589,0.2254,0.9871,0.0051
260,Linear Regression,542765.5134,175906.9518,726.8558,120.1919,328.1134,62.0,-1892.1798,514.5757
260,Random Forest,3.92,1.1735,1.9589,0.2877,1.1742,0.0756,0.9859,0.0046
260,MLP,3.851,2.8128,1.8361,0.6926,1.1918,0.4705,0.9863,0.0106
255,Linear Regression,933563.404,394006.5867,936.9763,235.8787,397.2329,100.594,-3406.8873,1539.2141
255,Random Forest,3.8734,0.8508,1.9567,0.2119,1.1818,0.0648,0.9861,0.0036
255,MLP,2.3524,1.123,1.4846,0.3852,0.9866,0.1861,0.9919,0.0033
250,Linear Regression,909058.236,273821.9722,941.1903,152.3781,408.7362,52.2927,-3260.6115,1031.9353
250,Random Forest,3.806,1.0893,1.9311,0.2775,1.1648,0.0854,0.9863,0.0044
250,MLP,2.9638,2.35,1.6009,0.6332,1.0879,0.4111,0.99,0.007
245,Linear Regression,632492.4621,368183.7355,759.354,236.3768,317.7278,58.7064,-2274.2693,1354.4546
245,Random Forest,4.0786,1.5228,1.9878,0.3567,1.1657,0.1101,0.9854,0.0057
245,MLP,2.9078,1.6643,1.6408,0.4642,1.1085,0.2722,0.9896,0.0065
240,Linear Regression,1112554.2128,676519.7637,1002.0109,329.4363,413.9642,141.0166,-4073.6498,2706.8529
240,Random Forest,3.5988,1.0074,1.8796,0.2569,1.1342,0.0946,0.9871,0.0039
240,MLP,4.2914,3.4756,1.9136,0.7934,1.3294,0.5051,0.9854,0.0108
235,Linear Regression,1080608.2989,632076.7115,997.3878,292.9606,394.418,132.9718,-3984.8814,2540.7778
235,Random Forest,3.7702,0.9676,1.9261,0.2454,1.1482,0.0944,0.9865,0.004
235,MLP,4.0771,2.8159,1.9091,0.6575,1.3739,0.4002,0.9861,0.0084
230,Linear Regression,1802321.2666,1111626.9127,1262.7402,455.8603,471.1777,203.6866,-6601.1775,4424.5041
230,Random Forest,3.7242,1.0891,1.9094,0.28,1.139,0.0711,0.9866,0.0043
230,MLP,2.3904,0.6627,1.5268,0.2437,1.0786,0.1392,0.9916,0.0022
225,Linear Regression,1721610.6947,1040275.6388,1241.8139,423.6849,508.9087,192.5223,-6229.8921,4088.9068
225,Random Forest,3.7849,0.7568,1.9359,0.1926,1.1534,0.0814,0.9864,0.0032
225,MLP,4.2037,1.7836,1.9852,0.5125,1.4316,0.3116,0.9854,0.0057
220,Linear Regression,1594469.3217,878773.7628,1216.9686,336.8333,493.0431,182.3295,-5823.7711,3524.7345
220,Random Forest,3.8214,1.4301,1.9231,0.3506,1.1338,0.0781,0.9863,0.0054
220,MLP,4.2351,3.2248,1.9018,0.7864,1.3634,0.5337,0.9854,0.0107
215,Linear Regression,5142821.1148,5171856.4472,2013.7323,1042.9301,835.3902,460.586,-19227.3662,20147.4904
215,Random Forest,4.0749,0.8247,2.0078,0.2088,1.1983,0.043,0.9854,0.0037
215,MLP,2.0433,0.5538,1.4156,0.1987,0.9578,0.1642,0.9929,0.0016
