n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
20,100,Linear Regression,402.6394,135.8162,19.8216,3.1213,14.9349,1.5906,-0.2152,0.2051
20,100,Random Forest,37.3296,25.1888,5.8228,1.8505,4.0287,1.3528,0.8924,0.0527
20,100,MLP,126.6096,127.42,9.9594,5.2364,7.8624,4.3907,0.5836,0.4175
19,95,Linear Regression,828.8158,281.9401,28.3672,4.9107,20.1099,2.385,-1.6307,0.8879
19,95,Random Forest,27.9518,19.5228,4.9434,1.8746,3.5495,1.1755,0.916,0.0526
19,95,MLP,45.4139,23.9919,6.5109,1.7385,4.8971,1.3781,0.8571,0.0711
18,90,Linear Regression,307.3025,122.6969,17.1921,3.4255,12.9581,2.9835,0.0135,0.3961
18,90,Random Forest,39.8667,31.5354,5.8184,2.4522,4.1726,1.4519,0.8736,0.1011
18,90,MLP,115.4458,103.5278,9.7983,4.409,8.1272,3.9719,0.6347,0.3253
17,85,Linear Regression,335.7678,60.3255,18.2558,1.5795,13.8282,1.5314,-0.0812,0.3322
17,85,Random Forest,31.9864,10.2736,5.578,0.9337,4.0368,0.6826,0.8979,0.0406
17,85,MLP,29.1906,15.7059,5.2086,1.4357,3.9764,1.1033,0.9015,0.0647
16,80,Linear Regression,446.2461,91.2939,21.0019,2.273,15.5939,1.6464,-0.4734,0.4205
16,80,Random Forest,56.8508,36.4347,7.1534,2.3833,5.258,1.4429,0.8267,0.091
16,80,MLP,187.8689,178.4016,12.4468,5.7399,9.6741,3.8242,0.4579,0.4222
15,75,Linear Regression,570.1642,406.2085,21.9409,9.4213,16.9486,7.8629,-1.4668,1.8662
15,75,Random Forest,31.9243,3.574,5.641,0.3209,4.3653,0.5902,0.8646,0.0198
15,75,MLP,151.0887,149.7454,10.7942,5.88,8.8023,5.4833,0.3658,0.6409
14,70,Linear Regression,414.4084,214.7702,19.6891,5.1719,14.2915,3.4324,-0.4549,1.3139
14,70,Random Forest,107.2817,66.1635,9.7373,3.5309,7.1279,2.7139,0.7307,0.1001
14,70,MLP,93.7039,60.6938,9.1576,3.1373,7.1451,2.0947,0.7452,0.1168
13,65,Linear Regression,298.4447,121.256,16.7919,4.0594,13.767,3.5641,0.0676,0.394
13,65,Random Forest,81.3279,32.8294,8.8265,1.8498,6.1469,1.4209,0.7372,0.1138
13,65,MLP,91.0896,53.8819,8.9994,3.1782,6.5592,2.0351,0.73,0.1459
12,60,Linear Regression,462.1998,198.4906,20.9996,4.606,15.8156,3.657,-0.6913,0.9768
12,60,Random Forest,97.1259,38.134,9.661,1.9472,7.1988,0.9693,0.6645,0.1366
