wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
255,Random Forest,3.596,0.7763,1.8854,0.2034,1.1758,0.0874,0.9872,0.0032
255,MLP,3.2769,1.3469,1.7673,0.3919,1.2447,0.3269,0.9884,0.005
250,Linear Regression,1515470.7701,1007049.3943,1169.9353,383.0434,587.4939,204.1895,-5464.2429,3957.7415
250,Random Forest,3.4746,0.8034,1.8518,0.2133,1.1409,0.0893,0.9875,0.0034
250,MLP,3.1231,2.2538,1.6722,0.5716,1.1653,0.3748,0.9894,0.0066
245,Linear Regression,626838.2587,352930.6041,763.319,210.1961,361.5979,114.875,-2302.9245,1421.8819
245,Random Forest,3.8353,1.408,1.9293,0.3364,1.1646,0.1242,0.9863,0.0052
245,MLP,2.7471,1.7997,1.5757,0.5142,1.0339,0.296,0.9902,0.007
240,Linear Regression,815618.8314,601504.2999,841.0345,329.0588,371.6635,173.4179,-2965.3079,2287.9849
240,Random Forest,3.4527,0.9962,1.8401,0.2584,1.1408,0.0878,0.9877,0.0038
240,MLP,3.5684,3.0418,1.7617,0.6817,1.1775,0.3539,0.9881,0.0088
235,Linear Regression,1020883.3544,486716.1881,980.0852,245.5938,431.0025,119.1697,-3631.8577,1845.1775
235,Random Forest,3.3605,0.7491,1.8214,0.2071,1.1359,0.1031,0.9881,0.0028
235,MLP,3.1001,1.3561,1.713,0.407,1.2249,0.2543,0.9891,0.0048
230,Linear Regression,2686694.6576,1599450.2658,1566.8759,481.2428,728.3242,259.8374,-9734.2935,6313.0996
230,Random Forest,3.8725,1.0435,1.951,0.2569,1.1673,0.057,0.9861,0.0042
230,MLP,2.7376,1.0184,1.6198,0.3373,1.1329,0.2012,0.9905,0.0031
225,Linear Regression,2234386.5753,1182800.5054,1405.6315,508.5141,616.8046,246.5665,-7958.142,4286.7129
225,Random Forest,3.8497,0.8621,1.9509,0.2092,1.1773,0.0797,0.9863,0.0034
225,MLP,3.3593,1.2625,1.7857,0.413,1.266,0.3047,0.9882,0.0045
220,Linear Regression,4553315.0538,3187992.3596,1969.1029,822.1611,844.1318,402.8803,-16521.9542,12330.2632
220,Random Forest,3.7339,1.1455,1.9122,0.2782,1.1469,0.0848,0.9867,0.0044
220,MLP,4.4127,2.3466,2.0112,0.6063,1.4512,0.4796,0.9845,0.0084
215,Linear Regression,3165173.0332,2527289.1949,1657.6696,645.9912,671.204,281.4857,-11737.421,9946.2449
215,Random Forest,4.1877,0.9011,2.0342,0.223,1.2088,0.0752,0.9849,0.004
215,MLP,2.0497,0.8256,1.4012,0.294,0.9109,0.1795,0.9929,0.0024
210,Linear Regression,7025188.6606,4117347.9801,2493.4304,898.8846,1066.4257,405.5762,-25298.0529,15807.6578
210,Random Forest,3.8526,1.0854,1.9439,0.2718,1.1858,0.0831,0.9862,0.0044
210,MLP,2.6314,1.6446,1.5426,0.5017,1.0261,0.3221,0.9909,0.0052
205,Linear Regression,4005486.8233,2843960.9158,1829.4904,811.4505,710.3138,321.9368,-14192.2988,10192.3407
205,Random Forest,3.8768,1.2535,1.9449,0.3071,1.1803,0.113,0.9861,0.0049
205,MLP,3.1713,1.3207,1.7334,0.4081,1.1858,0.3251,0.9888,0.0047
200,Linear Regression,4200277.2738,2065722.9762,1977.3627,538.8078,738.8994,218.7713,-14866.5281,7301.0171
200,Random Forest,3.8312,1.0683,1.9393,0.2651,1.1697,0.0826,0.9863,0.0042
200,MLP,3.9329,2.534,1.8914,0.5964,1.2829,0.3947,0.9857,0.0101
195,Linear Regression,8593970.0759,8204914.8971,2634.95,1284.9157,1093.2961,690.7573,-31740.5328,32121.9458
195,Random Forest,3.7202,1.0058,1.9116,0.2569,1.1732,0.1016,0.9866,0.0041
195,MLP,2.7331,1.5609,1.585,0.4698,1.0763,0.2285,0.9907,0.0046
190,Linear Regression,10088999.6066,7056938.7238,2957.9168,1157.4661,1210.4773,548.3394,-36632.9828,27484.557
190,Random Forest,3.6425,1.2511,1.8818,0.3184,1.1318,0.0831,0.9869,0.0048
190,MLP,3.0651,1.2367,1.7093,0.3788,1.2011,0.255,0.9892,0.0043
185,Linear Regression,9505753.196,5727126.6473,2933.7698,948.0231,1121.345,500.2501,-34808.7951,22971.7806
185,Random Forest,3.5619,0.8923,1.8722,0.2384,1.1405,0.055,0.9872,0.0037
185,MLP,2.6397,1.1735,1.5706,0.4159,1.0952,0.3023,0.9907,0.0043
180,Linear Regression,9422028.4562,6169000.4687,2862.3899,1108.4912,958.2861,457.3418,-32561.2994,20183.0274
180,Random Forest,3.2147,0.681,1.7826,0.1924,1.1169,0.0952,0.9886,0.0026
180,MLP,3.7134,2.7494,1.7904,0.7127,1.235,0.4702,0.9871,0.0095
175,Linear Regression,21307517.7438,4725610.0478,4586.5531,520.6235,1436.6132,281.2126,-74544.4127,12267.6664
175,Random Forest,3.2976,0.5836,1.8088,0.1612,1.1154,0.0709,0.9882,0.0025
175,MLP,3.6414,1.0061,1.8886,0.2728,1.3006,0.1217,0.9871,0.0038
170,Linear Regression,16236651.3665,9238555.737,3810.3022,1310.8198,1216.6382,498.1623,-58758.3873,34331.0978
170,Random Forest,3.6415,0.7979,1.8971,0.2058,1.1705,0.085,0.987,0.0035
170,MLP,4.1899,1.8807,1.9985,0.4427,1.3199,0.2578,0.9855,0.0052
165,Linear Regression,35730114.8178,14253922.7314,5815.0644,1383.8863,1846.8624,563.8757,-125798.8339,48804.839
165,Random Forest,3.0595,0.522,1.743,0.1469,1.1277,0.0492,0.9891,0.0023
