wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
245,Linear Regression,4532.0656,2316.526,65.1143,17.0938,34.4007,7.5472,-15.6321,9.4856
245,Random Forest,5.1575,1.4963,2.2472,0.3279,1.3853,0.1118,0.9814,0.0061
245,MLP,3.6368,1.6469,1.8614,0.4146,1.3036,0.3007,0.9868,0.0067
240,Linear Regression,3135.1647,408.8146,55.861,3.8364,32.7309,3.661,-10.2201,2.0695
240,Random Forest,4.1476,0.6536,2.03,0.1636,1.2802,0.0894,0.9852,0.0028
240,MLP,3.399,2.6803,1.7343,0.6254,1.2097,0.3688,0.9885,0.0077
235,Linear Regression,3424.5935,1579.383,56.8109,14.0397,31.9524,6.3883,-11.5483,6.4656
235,Random Forest,3.9916,0.9417,1.9846,0.2305,1.2853,0.0619,0.9857,0.0037
235,MLP,3.5777,1.6308,1.8417,0.4313,1.3233,0.2761,0.9875,0.0056
230,Linear Regression,2963.3989,1847.6634,51.5412,17.5186,30.4605,9.8786,-9.99,7.3789
230,Random Forest,4.2392,1.6,2.02,0.3986,1.2966,0.135,0.9849,0.0061
230,MLP,3.0582,1.2648,1.7079,0.3759,1.241,0.2197,0.9894,0.004
225,Linear Regression,2515.7756,530.5135,49.8572,5.4802,26.404,2.4678,-7.9619,2.2156
225,Random Forest,4.5234,1.8813,2.087,0.4094,1.3125,0.1764,0.9838,0.0069
225,MLP,4.393,1.541,2.0539,0.4179,1.5101,0.2646,0.9846,0.0052
220,Linear Regression,4101.12,1566.5462,62.9508,11.761,33.4938,7.6602,-13.9095,6.5725
220,Random Forest,4.2843,1.4153,2.0446,0.3224,1.3025,0.136,0.9848,0.0052
220,MLP,4.5596,2.3772,2.0641,0.5469,1.4892,0.3921,0.9838,0.009
215,Linear Regression,3484.2074,782.8301,58.6326,6.8136,30.1763,3.6133,-11.1583,1.8876
215,Random Forest,4.5788,1.2067,2.1176,0.3075,1.2885,0.1544,0.9838,0.0046
215,MLP,3.2197,1.734,1.7166,0.5225,1.1577,0.3237,0.989,0.0051
210,Linear Regression,4340.5963,1953.6655,64.0379,15.4835,33.2653,6.2158,-14.6987,7.6215
210,Random Forest,4.886,1.5021,2.1796,0.3679,1.3387,0.1331,0.9826,0.0058
210,MLP,3.2585,0.9511,1.7849,0.2694,1.2104,0.1313,0.9885,0.0034
205,Linear Regression,5738.3304,3227.9348,72.8402,20.7997,37.1309,10.5208,-19.6837,12.1588
205,Random Forest,3.8756,1.0361,1.9498,0.2718,1.287,0.1327,0.9863,0.0039
205,MLP,3.7222,1.3391,1.8933,0.3708,1.3277,0.3106,0.9868,0.0051
200,Linear Regression,2566.7106,1682.6421,47.8446,16.6615,26.0664,7.9534,-8.3858,6.4792
200,Random Forest,4.2322,1.1794,2.0348,0.3027,1.3313,0.0996,0.9849,0.0046
200,MLP,4.123,2.8744,1.9328,0.6225,1.3412,0.407,0.9851,0.0114
195,Linear Regression,3157.8465,1372.9942,54.5382,13.5437,27.6989,6.5528,-10.5126,5.2951
195,Random Forest,4.1079,1.3928,1.9979,0.3409,1.2764,0.1074,0.9853,0.0055
195,MLP,3.5053,1.4001,1.8298,0.3963,1.3254,0.2324,0.9879,0.0043
190,Linear Regression,2411.7142,941.2649,48.107,9.8708,24.0253,4.3655,-7.6354,3.6988
190,Random Forest,4.6326,0.8025,2.1442,0.1871,1.3174,0.0539,0.9835,0.0036
190,MLP,3.4056,2.5725,1.7469,0.595,1.2811,0.5126,0.9876,0.0102
185,Linear Regression,3010.7149,732.3044,54.4302,6.9332,26.8346,2.4725,-9.6253,2.5853
185,Random Forest,5.0864,1.3027,2.2366,0.2901,1.3773,0.144,0.9819,0.0053
185,MLP,3.4185,1.3183,1.809,0.382,1.3144,0.2234,0.9881,0.0041
180,Linear Regression,2112.6432,1359.4427,43.6368,14.4386,20.9523,6.6574,-6.5078,4.874
180,Random Forest,4.9827,1.4065,2.2117,0.3019,1.3794,0.0968,0.9822,0.0055
180,MLP,3.5736,1.8341,1.8366,0.4479,1.2336,0.2138,0.9877,0.0052
175,Linear Regression,1906.4518,579.5268,43.1078,6.9405,19.1186,3.6577,-5.7569,2.1123
