n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
20,100,Random Forest,42.3216,28.9625,6.157,2.1007,4.3091,1.5154,0.8775,0.0662
20,100,MLP,126.8817,128.2499,10.032,5.1226,7.8617,4.2504,0.5842,0.4202
19,95,Linear Regression,468.5063,444.311,19.7708,8.8103,13.9732,4.4291,-0.5194,1.5109
19,95,Random Forest,34.0976,21.5013,5.543,1.8364,3.8782,1.2415,0.8966,0.0575
19,95,MLP,43.7933,24.0549,6.3707,1.7909,4.8801,1.3665,0.8619,0.0728
18,90,Linear Regression,243.9419,91.9494,15.3789,2.7263,12.1625,2.4565,0.2125,0.3086
18,90,Random Forest,49.8587,39.4646,6.4844,2.7948,4.6633,1.67,0.8418,0.1271
18,90,MLP,131.6627,101.2754,10.6358,4.306,8.8726,3.7136,0.5922,0.3165
17,85,Linear Regression,327.0234,122.8974,17.7621,3.3955,13.8627,2.6088,-0.0497,0.5005
17,85,Random Forest,35.7165,16.6476,5.8122,1.391,4.1419,1.0396,0.8852,0.0645
17,85,MLP,108.9933,169.7076,8.1051,6.5804,6.0085,5.0327,0.6025,0.6442
16,80,Linear Regression,1154.2135,838.7776,31.9393,11.5801,20.6838,3.1074,-3.1403,3.244
16,80,Random Forest,60.8658,43.5804,7.3311,2.6686,5.33,1.5834,0.8168,0.1057
16,80,MLP,182.4499,177.3847,12.144,5.9138,9.4561,3.9674,0.4793,0.4243
15,75,Linear Regression,295.8022,135.991,16.6975,4.1226,12.445,3.2526,-0.2495,0.5795
15,75,Random Forest,33.4165,4.1911,5.7684,0.3763,4.4209,0.5181,0.8584,0.0219
15,75,MLP,141.4265,150.2163,10.1389,6.2152,8.3001,5.7039,0.4091,0.6425
14,70,Linear Regression,349.8783,138.9086,18.3819,3.4616,13.8483,2.1539,-0.2276,0.9603
14,70,Random Forest,114.9611,74.3045,10.044,3.7521,7.3307,2.9254,0.7143,0.1092
14,70,MLP,108.1499,62.6464,10.0059,2.834,7.8206,1.5853,0.707,0.097
13,65,Linear Regression,370.6053,109.3034,19.0088,3.0451,14.8234,1.7301,-0.1799,0.3075
13,65,Random Forest,90.5065,39.3611,9.254,2.2069,6.5062,2.0004,0.7186,0.1109
13,65,MLP,99.3516,65.5469,9.2801,3.6374,6.7809,2.3401,0.71,0.169
12,60,Linear Regression,417.4063,106.8314,20.2577,2.652,16.007,2.1484,-0.4948,0.6303
12,60,Random Forest,119.1089,58.1235,10.6063,2.572,7.796,1.4201,0.5952,0.18
12,60,MLP,354.2552,388.9123,16.4335,9.1759,13.711,9.4378,-0.4722,1.9615
11,55,Linear Regression,775.9732,452.7454,26.4137,8.8483,18.1235,5.5246,-1.5721,1.3257
11,55,Random Forest,83.1646,48.3023,8.7415,2.5983,6.4833,2.1855,0.7224,0.1367
11,55,MLP,382.1019,238.8257,18.0774,7.437,14.2856,5.8897,-0.3,0.9435
10,50,Linear Regression,337.94,146.0375,17.9981,3.7427,15.0546,3.1828,-0.2429,0.8547
10,50,Random Forest,103.4797,53.1079,9.7853,2.78,7.6752,2.0815,0.6238,0.257
