wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
315,MLP,3.496,1.9129,1.7984,0.5115,1.2386,0.4113,0.9875,0.0075
310,Linear Regression,1968.7074,746.6694,43.5035,8.7267,25.2879,3.5492,-6.0981,2.829
310,Random Forest,4.1171,0.5197,2.025,0.1279,1.3249,0.085,0.9854,0.0023
310,MLP,3.397,2.658,1.7263,0.6458,1.0968,0.3595,0.9885,0.0078
305,Linear Regression,2276.251,775.0412,47.0443,7.9423,26.9043,1.6242,-7.0117,2.6521
305,Random Forest,4.1132,0.8123,2.0178,0.2046,1.3374,0.0861,0.9854,0.0032
305,MLP,4.6181,2.7917,2.0329,0.6966,1.3642,0.5368,0.9838,0.01
300,Linear Regression,1900.3537,571.6539,43.0777,6.683,25.0118,3.707,-5.769,2.2254
300,Random Forest,4.2332,0.3261,2.056,0.0789,1.3556,0.077,0.985,0.0018
300,MLP,4.1458,1.4705,2.0009,0.3769,1.3478,0.2384,0.9853,0.0057
295,Linear Regression,2035.942,867.9954,44.1307,9.4032,24.4309,3.1052,-6.2687,3.2359
295,Random Forest,4.4225,0.2934,2.1018,0.0698,1.3865,0.0662,0.9842,0.0021
295,MLP,2.9094,0.6352,1.6959,0.1827,1.175,0.1187,0.9896,0.0028
290,Linear Regression,1966.1807,772.9085,43.5625,8.2759,25.6887,4.7093,-6.097,3.1513
290,Random Forest,3.9677,0.4483,1.9885,0.116,1.3206,0.0995,0.9859,0.0018
290,MLP,2.3416,1.2818,1.4721,0.4178,0.9705,0.2605,0.992,0.0037
285,Linear Regression,1997.4888,635.2997,44.1645,6.8548,26.3227,5.0744,-6.1974,2.6714
285,Random Forest,4.1475,0.4954,2.0329,0.1212,1.3337,0.0836,0.9853,0.0019
285,MLP,4.0339,2.4995,1.8856,0.6916,1.2472,0.4675,0.986,0.0085
280,Linear Regression,1700.711,522.5696,40.7437,6.3767,23.8593,2.8814,-5.0933,2.0237
280,Random Forest,3.8402,0.5744,1.9539,0.1498,1.2747,0.1032,0.9864,0.002
280,MLP,4.7281,1.6102,2.1356,0.4089,1.5003,0.2715,0.9833,0.0056
275,Linear Regression,1776.7573,748.2064,41.2759,8.5472,25.2393,6.2326,-5.4324,3.0429
275,Random Forest,4.2729,0.8481,2.0573,0.2009,1.3743,0.1023,0.9849,0.003
275,MLP,4.038,1.9974,1.946,0.5011,1.2843,0.4083,0.9858,0.0069
270,Linear Regression,2026.949,1079.1692,43.4642,11.7394,25.1371,7.0043,-6.3675,4.2681
270,Random Forest,3.9059,0.306,1.9749,0.076,1.3265,0.0761,0.9861,0.0015
270,MLP,3.5217,1.2032,1.851,0.309,1.2044,0.1949,0.9878,0.0032
265,Linear Regression,1987.3212,1073.9126,43.0555,11.5562,24.648,5.7795,-6.2406,4.2647
265,Random Forest,3.9946,0.757,1.9896,0.1903,1.3199,0.0747,0.9859,0.0028
265,MLP,3.5756,1.1707,1.8588,0.3472,1.2753,0.2374,0.9873,0.0043
260,Linear Regression,1853.6865,370.7075,42.8418,4.2742,25.3791,3.0765,-5.649,1.7559
260,Random Forest,4.4577,0.9493,2.0989,0.2289,1.3542,0.1214,0.9841,0.0039
260,MLP,5.0645,2.9861,2.1486,0.6693,1.457,0.3997,0.9824,0.0101
255,Linear Regression,2579.6387,1180.3697,49.63,10.7936,27.6367,3.3946,-8.1322,4.1509
255,Random Forest,3.8137,0.8101,1.941,0.2154,1.3495,0.1275,0.9865,0.0029
255,MLP,2.8917,1.3742,1.6507,0.4084,1.1406,0.301,0.9898,0.0052
250,Linear Regression,3211.9173,1140.4061,55.748,10.202,28.7606,4.5341,-10.464,4.357
250,Random Forest,4.4088,0.4965,2.0964,0.1183,1.3566,0.0867,0.9843,0.0025
250,MLP,3.0828,2.0644,1.6688,0.5458,1.167,0.3672,0.9895,0.0061
245,Linear Regression,2763.5335,1150.9616,51.4341,10.8661,28.796,5.2829,-8.7919,4.1782
245,Random Forest,4.3647,0.7538,2.0815,0.1794,1.3285,0.0914,0.9845,0.0032
245,MLP,3.2191,1.6094,1.7382,0.4447,1.1472,0.2231,0.9886,0.0059
240,Linear Regression,2429.867,919.3056,48.4404,9.1319,25.0203,2.1285,-7.7123,3.6406
240,Random Forest,3.7902,0.4857,1.9429,0.1244,1.3102,0.0798,0.9865,0.0022
240,MLP,3.6564,3.3138,1.7702,0.723,1.2362,0.3907,0.9878,0.0096
235,Linear Regression,2165.6938,562.0685,46.1507,5.9842,25.8275,2.2933,-6.7223,2.2892
235,Random Forest,4.35,0.493,2.0823,0.1177,1.3899,0.0792,0.9845,0.0024
235,MLP,3.5784,1.8661,1.8167,0.5274,1.3255,0.3438,0.9877,0.0059
230,Linear Regression,2423.7644,516.5342,48.9439,5.3159,26.6686,3.2688,-7.6032,2.0988
230,Random Forest,3.7922,0.969,1.9331,0.2355,1.2968,0.0958,0.9866,0.0035
230,MLP,2.9897,1.047,1.6951,0.3409,1.207,0.1925,0.9896,0.0033
225,Linear Regression,2565.3248,1347.3664,48.7817,13.6261,25.7773,6.9422,-8.2423,5.0476
225,Random Forest,3.9476,0.5271,1.9825,0.1313,1.2782,0.0788,0.986,0.0023
225,MLP,3.3796,1.2744,1.7908,0.4153,1.27,0.2803,0.9882,0.0044
220,Linear Regression,2057.0615,567.4589,44.9254,6.2264,25.0883,2.778,-6.3236,2.2104
