wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
120,Random Forest,2.8862,0.7911,1.6827,0.2341,1.1377,0.0791,0.9897,0.0032
120,MLP,4.2659,2.3477,1.9959,0.5315,1.3311,0.2553,0.9853,0.0068
115,Linear Regression,12255.3307,5399.3073,107.7039,25.5968,42.8234,12.0493,-42.2704,19.0441
115,Random Forest,3.2295,1.1409,1.7702,0.3097,1.2014,0.1073,0.9885,0.0046
115,MLP,4.9892,2.8041,2.1413,0.6356,1.3778,0.3344,0.9825,0.01
110,Linear Regression,20518.7991,20019.8286,121.9114,75.2091,37.7982,18.3967,-67.3096,66.0852
110,Random Forest,3.0569,0.7798,1.7341,0.2229,1.1667,0.0803,0.9891,0.0032
110,MLP,3.0019,1.3332,1.6854,0.4017,1.1516,0.1728,0.9896,0.0044
105,Linear Regression,5100.3134,3446.2752,65.3654,28.7694,24.1981,10.3782,-17.4606,12.4345
105,Random Forest,3.2708,0.8618,1.7921,0.2433,1.1976,0.0911,0.9884,0.0034
105,MLP,3.6939,1.1995,1.8893,0.3529,1.321,0.2744,0.987,0.0042
100,Linear Regression,9982.706,5157.1568,96.5614,25.6633,31.2299,7.7218,-34.3465,19.2091
100,Random Forest,3.0876,0.9761,1.7355,0.2749,1.1951,0.1041,0.989,0.0037
100,MLP,3.8268,1.2388,1.928,0.3311,1.3046,0.1867,0.9866,0.004
95,Linear Regression,4225.3653,3279.8476,58.8772,27.547,19.2105,8.3103,-13.7882,11.8146
95,Random Forest,3.5299,1.1679,1.8518,0.3176,1.197,0.0958,0.9874,0.0046
95,MLP,4.0111,1.1817,1.9775,0.3168,1.4012,0.1607,0.986,0.0034
90,Linear Regression,1239.9714,1160.0399,30.9753,16.7482,12.044,4.1015,-3.6022,4.5228
90,Random Forest,3.1064,0.8007,1.7447,0.2498,1.2028,0.1273,0.989,0.003
90,MLP,3.4284,1.2603,1.8214,0.3331,1.2875,0.1858,0.988,0.004
85,Linear Regression,6079.6225,4995.5077,69.0632,36.1926,22.8558,10.317,-21.0122,18.0843
85,Random Forest,2.6971,0.617,1.6311,0.191,1.1143,0.0712,0.9904,0.0025
85,MLP,4.998,4.8572,2.0484,0.8957,1.4213,0.4877,0.9835,0.0142
80,Linear Regression,3313.0799,2525.5602,52.1696,24.3191,16.4787,6.4555,-10.8143,8.8482
80,Random Forest,2.9649,0.8641,1.7042,0.2463,1.1989,0.1128,0.9894,0.0036
80,MLP,5.7231,3.2737,2.3049,0.6409,1.6181,0.4316,0.9803,0.0096
75,Linear Regression,3085.1799,3303.5809,45.8826,31.3044,16.6549,9.58,-10.084,11.7747
75,Random Forest,2.8108,0.948,1.6528,0.2811,1.1385,0.1124,0.99,0.0038
75,MLP,3.6844,1.4401,1.8852,0.3612,1.3317,0.1901,0.9872,0.004
70,Linear Regression,2501.1315,2319.6855,44.2127,23.3745,14.7712,7.1347,-8.0086,8.2766
70,Random Forest,2.8979,0.7735,1.6864,0.2321,1.175,0.1344,0.9897,0.0031
70,MLP,4.0078,2.5339,1.9237,0.5543,1.3207,0.2287,0.9864,0.0071
65,Linear Regression,2115.8733,2874.1956,35.8714,28.7944,11.5078,8.0312,-6.3925,9.9917
65,Random Forest,2.6742,0.6028,1.6251,0.1823,1.1552,0.0899,0.9905,0.0022
65,MLP,3.2957,1.561,1.772,0.3945,1.2396,0.2297,0.9887,0.0043
60,Linear Regression,2321.8963,3285.6683,36.4206,31.5505,11.8263,7.9768,-7.2202,11.4399
60,Random Forest,2.7685,0.6995,1.6515,0.2022,1.1317,0.0469,0.9901,0.0027
60,MLP,3.3363,0.6103,1.819,0.1658,1.3113,0.1554,0.9882,0.002
55,Linear Regression,3631.5439,3023.3071,51.6335,31.0729,14.2914,7.731,-11.8205,11.0318
55,Random Forest,2.8165,0.5445,1.6712,0.1534,1.1985,0.0986,0.9899,0.0025
55,MLP,4.4957,1.1544,2.1029,0.271,1.5071,0.1697,0.9841,0.0045
50,Linear Regression,2203.3942,3762.1653,32.9549,33.4271,10.595,8.191,-6.676,13.0769
50,Random Forest,2.5145,0.6446,1.5727,0.2026,1.1187,0.1104,0.9911,0.0026
50,MLP,4.071,1.5325,1.9838,0.3684,1.424,0.2348,0.9859,0.0041
